Name,ID,Industry
SAMBHAAV MEDIA LTD.,SAMBHAAV,Print Media
DUGAR HOUSING DEVELOPMENTS LTD.,DUGARHOU,Civil Construction
SUGAL & DAMANI SHARE BROKERS LTD.,SUGALDAM,Non Banking Financial Company (NBFC)
NETTLINX LTD.,NETTLINX,Other Telecom Services
Scan Steels Limited,SCANSTL,Iron & Steel
GIC HOUSING FINANCE LTD.,GICHSGFIN,Housing Finance Company
MATHEW EASOW RESEARCH SECURITIES LTD.,MATHEWE,Non Banking Financial Company (NBFC)
AJCON GLOBAL SERVICES LTD.,AJCON,Other Financial Services
PARSHARTI INVESTMENT LTD.,PARSHINV,Non Banking Financial Company (NBFC)
CUBICAL FINANCIAL SERVICES LTD.,CUBIFIN,Non Banking Financial Company (NBFC)
RELIC TECHNOLOGIES LTD.,RELICTEC,Other Financial Services
NIMBUS PROJECTS LTD.,NIMBSPROJ,Residential- Commercial Projects
BAID LEASING AND FINANCE CO.LTD.,BALFC,Non Banking Financial Company (NBFC)
VIPUL LTD.,VIPUL,Residential- Commercial Projects
K.Z.LEASING & FINANCE LTD.,KZLFIN,Non Banking Financial Company (NBFC)
TRC FINANCIAL SERVICES LTD.,TRCFIN,Non Banking Financial Company (NBFC)
USHDEV INTERNATIONAL LTD.,USHDI,Trading - Metals
MEHTA SECURITIES LTD.,MEHSECU,Other Financial Services
MEHTA HOUSING FINANCE LTD.,MEHTAHG,Housing Finance Company
Ugro Capital Ltd,UGROCAP,Non Banking Financial Company (NBFC)
SHALIBHADRA FINANCE LTD.,SAHLIBHFI,Non Banking Financial Company (NBFC)
MANSI FINANCE (CHENNAI) LTD.,MANSIFIN,Non Banking Financial Company (NBFC)
Seven Hill Industries Limited,SEVENHILL,Non Banking Financial Company (NBFC)
Aastamangalam Finance Ltd,AASTAFIN,Non Banking Financial Company (NBFC)
MUTHOOT CAPITAL SERVICES LTD.,MUTHTFN,Non Banking Financial Company (NBFC)
MASTER TRUST LTD.,MASTERTR,Non Banking Financial Company (NBFC)
NILKANTH ENGINEERING LTD.,ZNILKENG,Diversified Commercial Services
SOBHAGYA MERCHANTILE LTD.,SOBME,Diversified Commercial Services
CNI RESEARCH LTD.,CNIRESLTD,Other Financial Services
SARASWATI COMMERCIAL (INDIA) LTD.,ZSARACOM,Non Banking Financial Company (NBFC)
WINRO COMMERCIAL (INDIA) LTD.,WINROC,Other Financial Services
N.D.METAL INDUSTRIES LTD.,NDMETAL,Copper
